id,date,step_total,total_minutes_asleep,total_time_in_bed
1503960366,4/12/2016,13162,327,346
1927972279,4/12/2016,678,750,775
2026352035,4/12/2016,4414,503,546
1503960366,4/13/2016,10735,384,407
1927972279,4/13/2016,356,398,422
2026352035,4/13/2016,4993,531,565
2026352035,4/14/2016,3335,545,568
1503960366,4/15/2016,9762,412,442
1844505072,4/15/2016,3844,644,961
1927972279,4/15/2016,980,475,499
2026352035,4/15/2016,3821,523,573
1503960366,4/16/2016,12669,340,367
2026352035,4/16/2016,2547,524,567
1503960366,4/17/2016,9705,700,712
2026352035,4/17/2016,838,437,498
1503960366,4/19/2016,15506,304,320
2026352035,4/19/2016,2424,498,540
1503960366,4/20/2016,10544,360,377
2026352035,4/20/2016,7222,461,510
1503960366,4/21/2016,9819,325,364
2026352035,4/21/2016,2467,477,514
2026352035,4/22/2016,2915,520,545
1503960366,4/23/2016,14371,361,384
2026352035,4/23/2016,12357,522,554
1503960366,4/24/2016,10039,430,449
2026352035,4/24/2016,3490,555,591
1503960366,4/25/2016,15355,277,323
2026352035,4/25/2016,6017,506,531
1503960366,4/26/2016,13755,245,274
1927972279,4/26/2016,3761,296,315
2026352035,4/27/2016,6088,508,545
1503960366,4/28/2016,13154,366,393
1927972279,4/28/2016,1675,166,178
2026352035,4/28/2016,6375,513,545
1503960366,4/29/2016,11181,341,354
1644430081,4/29/2016,3176,119,127
2026352035,4/29/2016,7604,490,510
1503960366,4/30/2016,14673,404,425
1644430081,4/30/2016,18213,124,142
1844505072,4/30/2016,4014,722,961
2026352035,4/30/2016,4729,573,607
1503960366,5/1/2016,10602,369,396
1844505072,5/1/2016,2573,590,961
2026352035,5/1/2016,3609,527,546
1503960366,5/2/2016,14727,277,309
1644430081,5/2/2016,3758,796,961
2026352035,5/2/2016,7018,511,543
1503960366,5/3/2016,15103,273,296
2026352035,5/4/2016,6564,538,560
1503960366,5/5/2016,14070,247,264
2026352035,5/5/2016,12167,468,485
1503960366,5/6/2016,12159,334,367
2026352035,5/6/2016,8198,524,548
1503960366,5/7/2016,11992,331,349
2026352035,5/7/2016,4193,511,521
1503960366,5/8/2016,10060,594,611
1644430081,5/8/2016,6724,137,154
2026352035,5/8/2016,5528,541,568
1503960366,5/9/2016,12022,338,342
2026352035,5/9/2016,10685,531,556
1503960366,5/10/2016,12207,383,403
2026352035,5/10/2016,254,357,380
1503960366,5/11/2016,12770,285,306
2026352035,5/11/2016,8580,523,553
2026352035,5/12/2016,8891,456,485
